area,zona,region,es_aprobado,uso_faenas,flag_tipo,similar_a,similitud_pct
PNAES-Noroeste,PNAES,Golfo de California,False,9811,DUPLICADO_PROBABLE,PNAES-Noreste,96
Bahía de La Paz,Bahía de La Paz,Golfo de California,False,9417,,,
PNAES-Suroeste,PNAES,Golfo de California,False,6950,DUPLICADO_PROBABLE,PNAES-Sureste,96
Pendiente,Cerralvo,Golfo de California,False,3910,,,
CS-Costa de Nopoló a Punta Arenas,Corredor sur,Golfo de California,False,3373,,,
Bahía Magdalena,Pacífico,Pacífico,False,2772,,,
CS-Isla San Diego,Corredor sur,Golfo de California,False,2665,POSIBLE_DUPLICADO,CS-Cabeza Isla San Diego,83
CS-Las Animas,Corredor sur,Golfo de California,False,2451,,,
CN-Bajo San Marcial,Corredor norte,Golfo de California,False,2106,,,
CN-Isla Santa Cruz,Corredor norte,Golfo de California,False,2038,POSIBLE_DUPLICADO,CN-Norte Isla Santa Cruz,86
CN-Bajo Norte Isla Catalana,Corredor norte,Golfo de California,False,1863,POSIBLE_DUPLICADO,CN-Norte Isla Catalana,90
CN-Bajo Seco,Corredor norte,Golfo de California,False,1829,,,
PNAES-Noreste,PNAES,Golfo de California,False,1436,DUPLICADO_PROBABLE,PNAES-Noroeste,96
CS-Isla San José,Corredor sur,Golfo de California,False,1416,POSIBLE_DUPLICADO,CS-Isla San Diego,79
CS-El Atravesado,Corredor sur,Golfo de California,False,1333,POSIBLE_DUPLICADO,CS-La Travesia,80
CN-Punta Berrendo,Corredor norte,Golfo de California,False,1261,POSIBLE_DUPLICADO,CN-Bajo Berrendo,79
CS-Potrero-Cerritos Verdes,Corredor sur,Golfo de California,False,912,,,
CN-Costa de Carrizalito a Los Nidos,Corredor norte,Golfo de California,False,881,,,
CS-Costa de El Cobre a Cerritos Amarillos,Corredor sur,Golfo de California,False,843,,,
CS-San José: Punta Sur de la Isla,Corredor sur,Golfo de California,False,838,,,
CS-Rodadero a El Morrito,Corredor sur,Golfo de California,False,832,,,
