comunidad,es_aprobado,uso_faenas,flag_tipo,similar_a,similitud_pct
Punta Abreojos,False,58753,,,
Coop. Bahía de La Paz,False,39258,POSIBLE_DUPLICADO,Bahía de La Paz,83
Agua Verde,False,16450,,,
Ensenada de Cortés,False,5882,,,
Punta Alta,False,5454,,,
San Evaristo,False,5298,,,
Tembabiche,False,4667,,,
Punta Coyote,False,4438,POSIBLE_DUPLICADO,Punta Cono,82
Isla La Partida,False,2426,,,
El Sargento,False,1209,,,
Cabo San Lázaro,False,1112,,,
Boca de Camichin,False,1097,,,
Los Morillos,False,1062,,,
La Barra,False,1049,,,
Coop. Bellavista,False,1005,,,
Pimientillo,False,718,,,
La Brecha,False,704,,,
Las Barrancas,False,593,,,
El Pardito,False,442,,,
El Cardón,False,363,,,
San Juanico,False,249,,,
La Ventana,False,232,,,
Desconocida,False,91,,,
Bahía Tortugas,False,82,,,
Las Casitas,False,80,,,
La Cueva,False,79,,,
La Dispensa,False,64,,,
Nopoló,False,59,,,
Pericos,False,53,,,
Puerto Nuevo,False,38,,,
Guerrero Negro,False,36,,,
Boca del Alamo,False,30,,,
Puerto Escondido,False,26,,,
San Cristobal,False,23,,,
Punta Prieta,False,18,,,
El Morrito,False,17,POSIBLE_DUPLICADO,El Merito,84
Punta Arenas,False,15,,,
San Hipólito,False,6,,,
Bahía Asunción,False,4,,,
La Base,False,4,,,
Punta Cono,False,4,POSIBLE_DUPLICADO,Punta Coyote,82
El Faro,False,3,,,
El Merito,False,3,POSIBLE_DUPLICADO,El Morrito,84
San Roque,False,2,,,
Bahía de La Paz,False,1,POSIBLE_DUPLICADO,Coop. Bahía de La Paz,83
El Chicharrón,False,1,,,
Laguna Manuela,False,1,,,
Loreto,False,1,,,
Rincon Guayabitos,False,1,,,
San Blas,False,1,,,
Comunidad/ Sitio de arribo,False,0,,,
