embarcacion,es_aprobado,uso_faenas,flag_tipo,similar_a,similitud_pct
Beatriz,False,1225,,,
Amayrani,False,778,POSIBLE_DUPLICADO,Amayrani II,84
El Bronco,False,693,POSIBLE_DUPLICADO,Bronco,80
Marely,False,639,POSIBLE_DUPLICADO,Mary,80
Denisse,False,607,,,
Chelito,False,525,,,
Keyco,False,517,,,
Chocolate,False,476,,,
Adelita V,False,380,DUPLICADO_EXACTO,adelita V,100
Jimena,False,363,,,
7 Leguas,False,325,,,
Adelita IV,False,319,DUPLICADO_EXACTO,adelita IV,100
Santa Lidia,False,311,,,
Joana,False,306,POSIBLE_DUPLICADO,Juana,80
Pícaro,False,300,,,
Adelita II,False,289,DUPLICADO_EXACTO,adelita II,100
Diana,False,281,POSIBLE_DUPLICADO,Ivana,80
Miriam I,False,280,POSIBLE_DUPLICADO,Miriam,86
Caminante,False,273,,,
Berenice,False,250,,,
Adelita VII,False,245,DUPLICADO_PROBABLE,Adelita VIII,96
Mary,False,243,DUPLICADO_EXACTO,mary,100
Adelita VIII,False,209,DUPLICADO_EXACTO,adelita VIII,100
Azucena,False,199,,,
Chupacabras,False,174,,,
Jarocho,False,166,,,
Laura,False,158,POSIBLE_DUPLICADO,Laura I,83
Karla I,False,154,POSIBLE_DUPLICADO,Karla,83
Graciela,False,128,,,
Yuliana,False,115,POSIBLE_DUPLICADO,Yuliana I,88
Ashley,False,109,,,
Cinthia,False,108,,,
Adelita I,False,101,DUPLICADO_PROBABLE,Adelita IV,95
Fernanda,False,100,POSIBLE_DUPLICADO,Fernanda I,89
Adelita III,False,91,DUPLICADO_PROBABLE,Adelita VIII,96
Galilea,False,91,,,
Morrito,False,73,POSIBLE_DUPLICADO,Morrito I,88
Amagedon,False,70,DUPLICADO_PROBABLE,Armagedon,94
Karla,False,69,POSIBLE_DUPLICADO,Karla I,83
Damaris Guadalupe,False,65,,,
Nayo,False,61,,,
Sinahí,False,54,,,
Ivana,False,51,POSIBLE_DUPLICADO,Diana,80
La Tempestad,False,51,,,
Adelita l,False,50,POSIBLE_DUPLICADO,Adelita V,89
Amayrani II,False,50,POSIBLE_DUPLICADO,Amayrani,84
Marely II,False,50,POSIBLE_DUPLICADO,Marely,80
Narciso Romero Navarro,False,50,,,
Les Mar III,False,48,DUPLICADO_EXACTO,les mar III,100
Idis,False,47,,,
Anilu,False,44,POSIBLE_DUPLICADO,Anilu I,83
San Eusebio III,False,43,POSIBLE_DUPLICADO,San Eusebio,85
Rodriguez,False,42,DUPLICADO_EXACTO,Rodríguez,100
Ricardo,False,41,,,
Adelita VI,False,40,DUPLICADO_PROBABLE,Adelita VII,95
Elizabeth,False,39,POSIBLE_DUPLICADO,Elizabeth I,90
Elizabeth I,False,37,POSIBLE_DUPLICADO,Elizabeth,90
Lesmar III,False,37,DUPLICADO_PROBABLE,Les Mar III,95
Isabel,False,36,,,
Santos II,False,34,POSIBLE_DUPLICADO,Santos,80
Mayonesa,False,33,,,
Cruz,False,29,,,
Alondra I,False,28,,,
Lorenita,False,27,POSIBLE_DUPLICADO,Lorena,86
