nombre_comun,nombre_cientifico,es_aprobado,uso_capturas,uso_mediciones,uso_carnadas,uso_especie_objetivo,uso_total,flag_tipo,similar_a,similitud_pct,flag_cientifico,similar_cientifico,similitud_cientifico_pct
Huachinango,Lutjanus peru,False,35230,68477,0,480,103707,DUPLICADO_EXACTO,Huachinango,100,POSIBLE_DUPLICADO,Lutjanus aratus,79
Verdillo,Paralabrax nebulifer,False,58424,37697,4,0,96125,,,,,,
Cochito,Balistes polylepis,False,16477,46493,0,4,62970,DUPLICADO_EXACTO,cochito,100,,,
Cadernal,Pendiente,False,9884,42628,0,4,52512,DUPLICADO_EXACTO,cadernal,100,DUPLICADO_EXACTO,Pendiente,100
Pargo amarillo,Lutjanus argentiventris,False,11150,26196,0,4,37346,DUPLICADO_EXACTO,pargo amarillo,100,DUPLICADO_EXACTO,Lutjanus argentiventris,100
Cabrilla sardinera,Mycteroperca rosacea,False,11849,24058,0,38,35907,DUPLICADO_EXACTO,Cabrilla Sardinera,100,POSIBLE_DUPLICADO,Micteroperka rosacea,90
Pierna,Pendiente,False,7369,28304,0,38,35673,DUPLICADO_EXACTO,pierna,100,DUPLICADO_EXACTO,Pendiente,100
Estacuda,Hyporthodus niphobles,False,5300,18093,0,20,23393,POSIBLE_DUPLICADO,Tacuda,86,,,
Jurel,Pendiente,False,9127,10698,0,365,19825,DUPLICADO_EXACTO,jurel,100,DUPLICADO_EXACTO,Pendiente,100
Pargo mulato,Hoplopagrus guentherii,False,7242,8668,0,0,15910,DUPLICADO_EXACTO,pargo mulato,100,DUPLICADO_EXACTO,Hoplopagrus guentherii,100
Robalo garabato,Centropomus viridis,False,4924,8302,0,0,13226,,,,POSIBLE_DUPLICADO,Centropomus medius,81
Guarepa,Caulolatilus affinis,False,3867,4819,13,0,8699,DUPLICADO_EXACTO,Guarepa,100,POSIBLE_DUPLICADO,Caulolatilus princeps,78
Baqueta,Pendiente,False,4405,2539,0,364,6944,DUPLICADO_EXACTO,baqueta,100,DUPLICADO_EXACTO,Pendiente,100
Sardina,Sardinops caeruleus,False,0,0,6353,0,6353,DUPLICADO_EXACTO,Sardinosaurus Rex,100,DUPLICADO_EXACTO,Sardinops caeruleus,100
Pargo colorado,Lutjanus colorado,False,2658,3509,0,0,6167,DUPLICADO_EXACTO,Pargo Colorado,100,DUPLICADO_EXACTO,Lutjanus colorado,100
Zorrillo,Pendiente,False,1755,2959,0,2,4714,,,,DUPLICADO_EXACTO,Pendiente,100
Constantino,Centropomus robalito,False,519,4171,0,0,4690,,,,,,
Sierra,Scomberomorus sierra,False,1244,2898,0,0,4142,DUPLICADO_EXACTO,Sierra,100,DUPLICADO_EXACTO,Scomberomorus  sierra,100
Perico,Scarus sp.,False,2942,618,0,0,3560,DUPLICADO_EXACTO,Perico,100,DUPLICADO_PROBABLE,Scarus sp,95
Lenguado,Paralichthys californicus,False,1051,2377,0,0,3428,DUPLICADO_EXACTO,Lenguado,100,DUPLICADO_EXACTO,Paralichthys californicus,100
3ra,Pendiente,False,3327,0,0,0,3327,,,,DUPLICADO_EXACTO,Pendiente,100
Pargo lunarejo,Lutjanus guttatus,False,2488,771,0,0,3259,DUPLICADO_EXACTO,pargo lunarejo,100,POSIBLE_DUPLICADO,Lutjanus aratus,81
Cazón,Pendiente,False,3142,85,0,0,3227,DUPLICADO_EXACTO,Cazon,100,DUPLICADO_EXACTO,Pendiente,100
Curvina,Cynoscion sp.,False,369,2826,0,0,3195,DUPLICADO_EXACTO,Curvina,100,POSIBLE_DUPLICADO,Cynoscion albus,79
Perico verde,Scarus compressus,False,49,2926,0,0,2975,DUPLICADO_EXACTO,Perico verde,100,,,
Mojarra mueluda,Calamus brachysomus,False,920,1974,0,0,2894,DUPLICADO_EXACTO,Mojarra mueluda,100,,,
Cabrilla,Pendiente,False,1875,778,0,0,2653,DUPLICADO_EXACTO,cabrilla,100,DUPLICADO_EXACTO,Pendiente,100
Calamar,Loligo opalescens,False,0,0,2573,0,2573,DUPLICADO_EXACTO,Calamar,100,,,
Curvina amarilla,Cynoscion xanthulus,False,709,1816,0,0,2525,POSIBLE_DUPLICADO,Guinea amarilla,84,POSIBLE_DUPLICADO,Cynoscion albus,82
Lisa,Mugil cephalus,False,515,1630,31,0,2176,DUPLICADO_EXACTO,Lisa,100,DUPLICADO_EXACTO,Mugil cephalus,100
Chihuil negro,Bagre panamensis,False,1747,358,0,0,2105,POSIBLE_DUPLICADO,Chihuil bandera,79,,,
Burro prieto,Pomadasys macracanthus,False,1542,468,0,0,2010,,,,,,
Vieja,Pendiente,False,1774,230,0,0,2004,DUPLICADO_EXACTO,Vieja,100,DUPLICADO_EXACTO,Pendiente,100
Bacoco,Haemulon sexfasciatum,False,762,1151,0,0,1913,DUPLICADO_EXACTO,Bacoco,100,,,
2da,Pendiente,False,1874,0,0,0,1874,,,,DUPLICADO_EXACTO,Pendiente,100
Perico azul,Scarus ghobban,False,80,1598,0,0,1678,POSIBLE_DUPLICADO,Perico dátil,78,,,
Macarela,Scomber japonicus,False,20,4,1645,0,1669,DUPLICADO_EXACTO,Macarela,100,,,
Robalo paleta,Centropomus medius,False,396,1211,0,0,1607,,,,POSIBLE_DUPLICADO,Centropomus sp,81
Curricata,Paralabrax maculatofasciatus,False,586,910,0,0,1496,DUPLICADO_EXACTO,Curricata,100,,,
Vieja colorada,Semicossyphus pulcher,False,902,412,0,0,1314,,,,DUPLICADO_EXACTO,Semicossyphus pulcher,100
Lengua,Brotula clarkae,False,920,234,0,0,1154,DUPLICADO_EXACTO,Lengua,100,,,
Tiburón,Pendiente,False,1073,33,0,0,1106,,,,DUPLICADO_EXACTO,Pendiente,100
Palometa,Trachinotus rhodopus,False,696,391,0,0,1087,DUPLICADO_EXACTO,Palometa,100,DUPLICADO_EXACTO,Trachinotus rhodopus,100
Mojarra,Pendiente,False,744,267,1,0,1012,,,,DUPLICADO_EXACTO,Pendiente,100
Langostilla,Pleuroncodes planipes,False,0,0,972,0,972,,,,,,
