sitio,area,zona,region,es_aprobado,uso_faenas,uso_carnadas,flag_tipo,similar_a,similitud_pct
Sin especificar,ND,ND,Golfo de California,False,65781,0,,,
Isla Espíritu Santo,PNAES-Noroeste,PNAES,Golfo de California,False,5823,0,POSIBLE_DUPLICADO,Sur de Isla Espíritu Santo,84
Bahía de La Paz,Bahía de La Paz,Bahía de La Paz,Golfo de California,False,5014,0,,,
Isla La Partida,PNAES-Noroeste,PNAES,Golfo de California,False,2929,0,POSIBLE_DUPLICADO,Piedra La Partida,81
El Morrito PNAES,PNAES-Suroeste,PNAES,Golfo de California,False,2661,0,,,
Las Animas,CS-Las Animas,Corredor sur,Golfo de California,False,2345,0,POSIBLE_DUPLICADO,Las Ramas,84
San Evaristo,CS-Costa de Nopoló a Punta Arenas,Corredor sur,Golfo de California,False,2288,0,DUPLICADO_PROBABLE,San Evaristito,92
San Diego,CS-Isla San Diego,Corredor sur,Golfo de California,False,2266,0,,,
Bajo Seco norte,ND,ND,Golfo de California,False,1927,0,POSIBLE_DUPLICADO,Bajo norte,80
Bajo Norte Catalana,CN-Bajo Norte Isla Catalana,Corredor norte,Golfo de California,False,1848,0,DUPLICADO_EXACTO,bajo norte Catalana,100
San Juan de La Costa,Bahía de La Paz,Bahía de La Paz,Golfo de California,False,1845,0,,,
Conquista Agraria,Bahía Magdalena,Pacífico,Pacífico,False,1741,0,,,
Embarcadero,ND,ND,Golfo de California,False,1711,0,,,
Santa Cruz,CN-Isla Santa Cruz,Corredor norte,Golfo de California,False,1591,0,POSIBLE_DUPLICADO,Punta Cruz,80
Estero Barra,ND,ND,Golfo de California,False,1519,0,,,
Isla San José,CS-Isla San José,Corredor sur,Golfo de California,False,1416,0,POSIBLE_DUPLICADO,Este Isla San José,84
Agua Verde,CN-Punta Berrendo,Corredor norte,Golfo de California,False,1238,0,,,
San Carlos Pacífico,Bahía Magdalena,Pacífico,Pacífico,False,1217,0,,,
San Marcial,CN-Bajo San Marcial,Corredor norte,Golfo de California,False,1109,0,POSIBLE_DUPLICADO,Bajo San Marcial,81
La Baliza,Bahía de La Paz,Bahía de La Paz,Golfo de California,False,1092,0,POSIBLE_DUPLICADO,La Bala,88
La Ballena,PNAES-Suroeste,PNAES,Golfo de California,False,1091,0,POSIBLE_DUPLICADO,La Ballenita,91
Punta del Diablo,Bahía de La Paz,Bahía de La Paz,Golfo de California,False,1036,0,POSIBLE_DUPLICADO,Punta del Bajo,80
La Dispensa,PNAES-Suroeste,PNAES,Golfo de California,False,878,0,,,
Bajo San Marcial,ND,ND,Golfo de California,False,857,0,POSIBLE_DUPLICADO,San Marcial,81
San Juanico,Golfo de Ulloa,No Corredor,,False,817,0,DUPLICADO_EXACTO,San Juanico,100
Sur de Isla San José,CS-San José: Punta Sur de la Isla,Corredor sur,Golfo de California,False,776,0,POSIBLE_DUPLICADO,Norte de Isla San José,86
Berrendo,ND,ND,Golfo de California,False,755,0,,,
